"X0Sale_ID","age","price","pass","wtop","fixgear","tdrag"
101,22,9000,2,0,0,0
102,21,10000,2,0,0,0
103,20,11500,2,0,0,0
104,19,13000,2,0,0,0
105,22,17000,2,1,0,0
106,21,18000,2,1,0,0
107,20,19000,2,1,0,0
108,19,20500,2,1,0,0
109,18,23500,2,1,0,0
110,17,27500,2,1,0,0
111,21,13000,2,0,0,0
112,20,14000,2,0,0,0
113,19,15500,2,0,0,0
114,36,11605,2,0,0,0
115,34,11605,2,0,0,0
116,32,13000,2,0,0,0
117,30,14250,2,0,0,0
118,28,15000,2,0,0,0
119,26,16000,2,0,0,0
120,24,17000,2,0,0,0
121,34,10750,4,0,0,0
122,32,11250,4,0,0,0
123,30,12750,4,0,0,0
124,26,14000,4,0,0,0
125,22,14500,4,0,0,0
126,37,10500,4,0,0,0
127,36,11500,4,0,0,0
128,33,12500,4,0,0,0
129,32,13750,4,0,0,0
130,30,16000,4,0,0,0
131,26,20000,4,0,0,0
132,23,25500,4,0,0,0
133,20,34000,4,0,0,0
134,18,46000,4,0,0,0
135,44,12000,4,1,0,0
136,40,12500,4,1,0,0
137,39,13000,4,1,0,0
138,38,13500,4,1,0,0
139,37,14000,4,1,0,0
140,36,14750,4,1,0,0
141,35,15500,4,1,0,0
142,34,15750,4,1,0,0
143,33,16000,4,1,0,0
144,32,16500,4,1,0,0
145,31,17500,4,1,0,0
146,29,19000,4,1,0,0
147,27,20000,4,1,0,0
148,26,21000,4,1,0,0
149,25,24500,4,1,0,0
150,24,25500,4,1,0,0
151,23,25000,4,1,0,0
152,22,27500,4,1,0,0
153,21,29500,4,1,0,0
154,20,33000,4,1,0,0
155,19,37500,4,1,0,0
156,18,42000,4,1,0,0
157,17,47000,4,1,0,0
158,32,15250,2,1,0,0
159,31,17000,2,1,0,0
160,30,18000,2,1,0,0
161,29,19500,2,1,0,0
162,28,21000,2,1,0,0
163,27,22500,2,1,0,0
164,26,24000,2,1,0,0
165,25,25500,2,1,0,0
166,24,27500,2,1,0,0
167,23,30000,2,1,0,0
168,22,32000,2,1,0,0
169,37,15500,4,0,0,0
170,35,16500,4,0,0,0
171,33,17000,4,0,0,0
172,32,18500,4,0,0,0
173,30,20250,4,0,0,0
174,28,21500,4,0,0,0
175,27,25000,4,0,0,0
176,25,29500,4,0,0,0
177,23,33500,4,0,0,0
178,20,44500,4,0,0,0
179,19,55000,4,0,0,0
180,18,65500,4,0,0,0
181,15,74500,4,0,0,0
182,44,16000,4,1,0,0
183,42,18000,4,1,0,0
184,40,19500,4,1,0,0
185,38,20500,4,1,0,0
186,34,22500,4,1,0,0
187,31,24000,4,1,0,0
188,30,26000,4,1,0,0
189,26,30500,4,1,0,0
190,24,37000,4,1,0,0
191,20,51000,4,1,0,0
192,19,59500,4,1,0,0
193,18,65500,4,1,0,0
194,17,71500,4,1,0,0
195,16,80000,4,1,0,0
196,36,21500,4,1,0,0
197,38,19000,6,1,0,1
198,37,20500,6,1,0,1
199,35,21500,6,1,0,1
200,34,23000,6,1,0,1
201,32,25000,6,1,0,1
202,30,28000,6,1,0,1
203,28,31000,6,1,0,1
204,25,34500,6,1,0,1
205,24,40000,6,1,0,1
206,22,48000,6,1,0,1
207,20,60000,6,1,0,1
208,16,254000,6,0,1,0
209,29,22500,4,1,1,0
210,28,23500,4,1,1,0
211,27,25000,4,1,1,0
212,26,26500,4,1,1,0
213,25,28500,4,1,1,0
214,24,30500,4,1,1,0
215,23,32500,4,1,1,0
216,22,34500,4,1,1,0
217,23,45500,4,0,1,0
218,22,49500,4,0,1,0
219,21,53500,4,0,1,0
220,20,58500,4,0,1,0
221,19,63500,4,0,1,0
222,18,68000,4,0,1,0
223,17,76000,4,0,1,0
224,21,58000,4,0,1,0
225,20,63500,4,0,1,0
226,19,69000,4,0,1,0
227,18,76000,4,0,1,0
228,17,85000,4,0,1,0
229,36,21700,4,0,1,0
230,36,27000,4,0,1,0
231,35,29000,4,0,1,0
232,33,38000,4,0,1,0
233,29,42500,4,0,1,0
234,29,43000,4,0,1,0
235,35,45000,4,0,1,0
236,23,34000,4,0,1,0
237,22,38000,4,0,1,0
238,21,41500,4,0,1,0
239,20,45500,4,0,1,0
240,19,51000,4,0,1,0
241,18,60000,4,0,1,0
242,17,71000,4,0,1,0
243,24,38500,4,0,1,0
244,23,41000,4,0,1,0
245,22,43500,4,0,1,0
246,21,48500,4,0,1,0
247,31,54000,6,0,1,0
248,30,68500,6,0,1,0
249,26,75000,6,0,1,0
250,24,85500,6,0,1,0
251,22,90500,6,0,1,0
252,21,97000,6,0,1,0
253,20,107000,6,0,1,0
254,19,124500,6,0,1,0
255,18,135000,6,0,1,0
256,17,145000,6,0,1,0
257,21,68500,6,1,1,0
258,20,67000,6,1,1,0
259,20,76000,6,1,1,0
260,19,77000,6,1,1,0
261,19,88000,6,1,1,0
262,18,91500,6,1,1,0
263,18,102500,6,1,1,0
264,17,110000,6,1,1,0
265,17,123000,6,1,1,0
266,16,135000,6,1,1,0
267,16,150000,6,1,1,0
268,21,112500,6,0,1,0
269,20,119000,6,0,1,0
270,19,130000,6,0,1,0
271,18,160000,6,0,1,0
272,17,177501,6,0,1,0
273,14,154000,4,0,1,0
274,13,177501,4,0,1,0
275,22,74000,6,1,1,0
276,21,82000,6,1,1,0
277,20,95000,6,1,1,0
278,19,115000,6,1,1,0
279,18,134001,6,1,1,0
280,17,158000,6,0,1,0
281,20,70500,6,0,1,0
282,20,75000,6,0,1,0
283,20,83000,6,0,1,0
284,19,73000,6,0,1,0
285,19,76000,6,0,1,0
286,19,87500,6,0,1,0
287,19,95500,6,0,1,0
288,18,81000,6,0,1,0
289,18,88500,6,0,1,0
290,18,100000,6,0,1,0
291,18,108000,6,0,1,0
292,17,83000,6,0,1,0
293,17,104000,6,0,1,0
294,17,112000,6,0,1,0
295,17,120000,6,0,1,0
